case_id,State abv.,Metro,Areaname,County,Family,Housing,Food,Transportation,Healthcare,Other Necessities ,Childcare,Taxes,Total,median_family_income,num_counties_in_st,st_cost_rank,st_med_aff_rank,st_income_rank
1,AL,1,"Montgomery, AL MSA",Autauga County,2p2c,"$12,068","$9,984","$14,724","$17,319","$7,990","$15,825","$11,169","$89,078"," 73,010 ", 67 , 2 , 55 , 7 
2,AL,1,"Daphne-Fairhope-Foley, AL MSA",Baldwin County,2p2c,"$11,064","$10,734","$14,768","$16,888","$7,898","$15,348","$10,867","$87,567"," 77,885 ", 67 , 3 , 64 , 3 
3,AL,0,"Barbour County, AL",Barbour County,2p2c,"$7,776","$9,354","$13,612","$16,992","$6,207","$11,645","$8,052","$73,638"," 42,823 ", 67 , 56 , 5 , 64 
4,AL,1,"Birmingham-Hoover, AL HUD Metro FMR Area",Bibb County,2p2c,"$9,780","$8,815","$15,243","$17,642","$6,737","$13,798","$9,694","$81,710"," 59,444 ", 67 , 11 , 28 , 22 
5,AL,1,"Birmingham-Hoover, AL HUD Metro FMR Area",Blount County,2p2c,"$8,887","$9,414","$15,253","$17,642","$6,631","$13,176","$9,439","$80,443"," 63,966 ", 67 , 14 , 49 , 15 
6,AL,0,"Bullock County, AL",Bullock County,2p2c,"$8,460","$9,954","$14,230","$16,992","$6,672","$12,173","$8,795","$77,276"," 44,495 ", 67 , 22 , 4 , 62 
7,AL,0,"Butler County, AL",Butler County,2p2c,"$7,608","$8,905","$13,903","$16,992","$5,983","$11,613","$7,902","$72,905"," 51,858 ", 67 , 66 , 21 , 49 
8,AL,1,"Anniston-Oxford-Jacksonville, AL MSA",Calhoun County,2p2c,"$8,676","$8,935","$13,665","$16,601","$6,381","$13,184","$8,529","$75,971"," 60,734 ", 67 , 32 , 50 , 20 
9,AL,0,"Chambers County, AL",Chambers County,2p2c,"$8,928","$8,755","$13,797","$16,992","$6,407","$12,463","$8,504","$75,846"," 55,004 ", 67 , 33 , 27 , 41 
10,AL,0,"Cherokee County, AL",Cherokee County,2p2c,"$7,608","$9,744","$14,190","$16,992","$6,287","$11,705","$8,294","$74,821"," 57,032 ", 67 , 41 , 36 , 32 
11,AL,1,"Chilton County, AL HUD Metro FMR Area",Chilton County,2p2c,"$8,556","$9,444","$14,223","$17,642","$6,522","$13,259","$9,093","$78,740"," 56,402 ", 67 , 17 , 25 , 34 
12,AL,0,"Choctaw County, AL",Choctaw County,2p2c,"$7,608","$8,965","$14,774","$16,992","$6,005","$11,577","$8,138","$74,059"," 48,013 ", 67 , 50 , 9 , 59 
13,AL,0,"Clarke County, AL",Clarke County,2p2c,"$7,608","$8,785","$13,964","$16,992","$5,940","$11,857","$7,939","$73,084"," 54,377 ", 67 , 60 , 32 , 42 
14,AL,0,"Clay County, AL",Clay County,2p2c,"$7,608","$9,414","$14,108","$16,992","$6,168","$12,009","$8,236","$74,536"," 51,317 ", 67 , 45 , 17 , 50 
15,AL,0,"Cleburne County, AL",Cleburne County,2p2c,"$7,608","$9,115","$14,355","$16,992","$6,059","$11,894","$8,165","$74,187"," 58,880 ", 67 , 48 , 48 , 27 
16,AL,0,"Coffee County, AL",Coffee County,2p2c,"$8,304","$10,314","$14,847","$16,992","$6,746","$12,641","$9,143","$78,986"," 69,363 ", 67 , 16 , 61 , 11 
17,AL,1,"Florence-Muscle Shoals, AL MSA",Colbert County,2p2c,"$9,270","$8,605","$13,817","$16,888","$6,477","$13,692","$8,864","$77,613"," 62,369 ", 67 , 19 , 51 , 18 
18,AL,0,"Conecuh County, AL",Conecuh County,2p2c,"$7,608","$8,875","$14,306","$16,992","$5,972","$11,857","$8,058","$73,668"," 49,227 ", 67 , 55 , 13 , 57 
19,AL,0,"Coosa County, AL",Coosa County,2p2c,"$8,268","$10,044","$14,329","$16,992","$6,635","$12,047","$8,753","$77,068"," 49,987 ", 67 , 23 , 10 , 55 
20,AL,0,"Covington County, AL",Covington County,2p2c,"$7,608","$8,935","$14,194","$16,992","$5,994","$11,935","$8,071","$73,729"," 55,480 ", 67 , 53 , 33 , 40 
21,AL,0,"Crenshaw County, AL",Crenshaw County,2p2c,"$7,608","$9,864","$14,224","$16,992","$6,331","$11,613","$8,321","$74,953"," 59,328 ", 67 , 40 , 46 , 23 
22,AL,0,"Cullman County, AL",Cullman County,2p2c,"$7,980","$9,504","$13,989","$16,992","$6,335","$11,872","$8,332","$75,004"," 58,005 ", 67 , 39 , 42 , 30 
23,AL,0,"Dale County, AL",Dale County,2p2c,"$7,608","$9,534","$14,308","$16,992","$6,211","$12,123","$8,359","$75,135"," 58,944 ", 67 , 38 , 45 , 26 
24,AL,0,"Dallas County, AL",Dallas County,2p2c,"$7,752","$9,474","$13,076","$16,992","$6,242","$11,580","$7,931","$73,047"," 46,549 ", 67 , 63 , 8 , 60 
25,AL,0,"DeKalb County, AL",DeKalb County,2p2c,"$7,608","$9,474","$14,045","$16,992","$6,190","$11,754","$8,175","$74,238"," 50,571 ", 67 , 46 , 15 , 52 
26,AL,1,"Montgomery, AL MSA",Elmore County,2p2c,"$10,917","$10,074","$14,943","$17,319","$7,606","$14,982","$10,653","$86,493"," 74,491 ", 67 , 6 , 60 , 6 
27,AL,0,"Escambia County, AL",Escambia County,2p2c,"$7,608","$8,965","$13,786","$16,992","$6,005","$11,764","$7,932","$73,051"," 50,278 ", 67 , 62 , 16 , 53 
28,AL,1,"Gadsden, AL MSA",Etowah County,2p2c,"$8,604","$9,085","$14,501","$16,601","$6,409","$12,901","$8,698","$76,798"," 58,944 ", 67 , 25 , 38 , 26 
29,AL,0,"Fayette County, AL",Fayette County,2p2c,"$7,608","$9,714","$14,226","$16,992","$6,277","$11,640","$8,276","$74,733"," 52,757 ", 67 , 42 , 20 , 46 
30,AL,0,"Franklin County, AL",Franklin County,2p2c,"$7,608","$8,725","$13,771","$16,992","$5,918","$11,830","$7,861","$72,705"," 52,598 ", 67 , 67 , 26 , 47 
31,AL,1,"Dothan, AL HUD Metro FMR Area",Geneva County,2p2c,"$7,243","$8,845","$14,056","$16,888","$5,829","$12,143","$7,902","$72,907"," 52,019 ", 67 , 65 , 23 , 48 
32,AL,0,"Greene County, AL",Greene County,2p2c,"$7,608","$10,014","$13,946","$16,237","$6,385","$11,593","$8,103","$73,886"," 38,506 ", 67 , 51 , 2 , 66 
33,AL,1,"Tuscaloosa, AL HUD Metro FMR Area",Hale County,2p2c,"$6,970","$9,924","$15,174","$16,134","$6,121","$11,739","$8,175","$74,237"," 55,992 ", 67 , 47 , 35 , 37 
34,AL,1,"Henry County, AL HUD Metro FMR Area",Henry County,2p2c,"$7,608","$9,684","$15,454","$16,888","$6,266","$12,749","$8,838","$77,488"," 62,312 ", 67 , 20 , 52 , 19 
35,AL,1,"Dothan, AL HUD Metro FMR Area",Houston County,2p2c,"$8,738","$9,714","$13,276","$16,888","$6,686","$13,209","$8,803","$77,314"," 62,393 ", 67 , 21 , 53 , 17 
36,AL,0,"Jackson County, AL",Jackson County,2p2c,"$8,340","$9,624","$13,965","$16,992","$6,509","$12,094","$8,551","$76,075"," 54,206 ", 67 , 30 , 22 , 44 
37,AL,1,"Birmingham-Hoover, AL HUD Metro FMR Area",Jefferson County,2p2c,"$11,991","$9,624","$13,593","$17,642","$7,832","$15,340","$10,698","$86,721"," 72,560 ", 67 , 5 , 57 , 8 
38,AL,0,"Lamar County, AL",Lamar County,2p2c,"$7,608","$9,474","$14,124","$16,992","$6,190","$11,628","$8,163","$74,178"," 54,139 ", 67 , 49 , 30 , 45 
39,AL,1,"Florence-Muscle Shoals, AL MSA",Lauderdale County,2p2c,"$8,818","$8,785","$13,846","$16,888","$6,378","$13,365","$8,693","$76,772"," 67,573 ", 67 , 28 , 62 , 12 
40,AL,1,"Decatur, AL MSA",Lawrence County,2p2c,"$7,351","$9,504","$15,310","$16,816","$6,108","$12,055","$8,453","$75,598"," 56,913 ", 67 , 35 , 34 , 33 
41,AL,1,"Auburn-Opelika, AL MSA",Lee County,2p2c,"$9,888","$10,674","$14,037","$18,074","$7,450","$14,018","$10,227","$84,367"," 74,678 ", 67 , 8 , 63 , 5 
42,AL,1,"Huntsville, AL MSA",Limestone County,2p2c,"$8,204","$9,534","$15,709","$18,289","$6,427","$13,106","$9,507","$80,778"," 77,252 ", 67 , 12 , 65 , 4 
43,AL,1,"Montgomery, AL MSA",Lowndes County,2p2c,"$7,172","$9,984","$15,162","$17,319","$6,216","$12,237","$8,695","$76,786"," 42,556 ", 67 , 27 , 3 , 65 
44,AL,0,"Macon County, AL",Macon County,2p2c,"$7,968","$9,774","$13,603","$16,992","$6,429","$12,165","$8,398","$75,329"," 50,030 ", 67 , 37 , 11 , 54 
45,AL,1,"Huntsville, AL MSA",Madison County,2p2c,"$10,175","$9,504","$14,711","$18,289","$7,131","$14,578","$10,289","$84,677"," 87,832 ", 67 , 7 , 66 , 2 
46,AL,0,"Marengo County, AL",Marengo County,2p2c,"$7,608","$8,935","$14,061","$16,992","$5,994","$12,094","$8,078","$73,762"," 60,636 ", 67 , 52 , 56 , 21 
47,AL,0,"Marion County, AL",Marion County,2p2c,"$7,608","$9,444","$14,041","$16,992","$6,179","$12,055","$8,241","$74,560"," 49,576 ", 67 , 43 , 12 , 56 
48,AL,0,"Marshall County, AL",Marshall County,2p2c,"$7,920","$8,905","$13,901","$16,992","$6,096","$11,808","$8,062","$73,684"," 58,335 ", 67 , 54 , 47 , 29 
49,AL,1,"Mobile, AL MSA",Mobile County,2p2c,"$9,888","$9,474","$13,996","$16,744","$7,016","$14,031","$9,476","$80,624"," 62,409 ", 67 , 13 , 43 , 16 
50,AL,0,"Monroe County, AL",Monroe County,2p2c,"$7,608","$8,965","$13,948","$16,992","$6,005","$11,604","$7,933","$73,055"," 50,684 ", 67 , 61 , 18 , 51 
51,AL,1,"Montgomery, AL MSA",Montgomery County,2p2c,"$10,819","$9,774","$13,844","$17,319","$7,462","$14,910","$10,224","$84,352"," 64,886 ", 67 , 9 , 40 , 14 
52,AL,1,"Decatur, AL MSA",Morgan County,2p2c,"$8,779","$9,294","$14,392","$16,816","$6,549","$13,041","$8,895","$77,767"," 65,753 ", 67 , 18 , 58 , 13 
53,AL,0,"Perry County, AL",Perry County,2p2c,"$7,608","$9,205","$13,971","$16,992","$6,092","$11,634","$8,031","$73,532"," 36,420 ", 67 , 57 , 1 , 67 
54,AL,1,"Pickens County, AL HUD Metro FMR Area",Pickens County,2p2c,"$7,608","$10,134","$14,224","$16,888","$6,429","$12,296","$8,564","$76,142"," 55,549 ", 67 , 29 , 29 , 39 
55,AL,0,"Pike County, AL",Pike County,2p2c,"$8,100","$10,224","$13,236","$16,992","$6,639","$12,030","$8,473","$75,694"," 58,535 ", 67 , 34 , 41 , 28 
56,AL,0,"Randolph County, AL",Randolph County,2p2c,"$7,608","$8,875","$14,090","$16,992","$5,972","$11,628","$7,944","$73,109"," 56,018 ", 67 , 59 , 37 , 36 
57,AL,1,"Columbus, GA-AL MSA",Russell County,2p2c,"$8,968","$9,414","$13,315","$18,074","$6,661","$13,765","$9,233","$79,430"," 55,667 ", 67 , 15 , 19 , 38 
58,AL,1,"Birmingham-Hoover, AL HUD Metro FMR Area",St. Clair County,2p2c,"$10,912","$10,344","$15,050","$17,642","$7,702","$14,588","$10,752","$86,990"," 70,827 ", 67 , 4 , 54 , 9 
59,AL,1,"Birmingham-Hoover, AL HUD Metro FMR Area",Shelby County,2p2c,"$13,950","$10,164","$14,660","$17,642","$8,737","$16,705","$12,150","$94,009"," 98,419 ", 67 , 1 , 67 , 1 
60,AL,0,"Sumter County, AL",Sumter County,2p2c,"$9,300","$8,875","$13,847","$16,992","$6,585","$12,573","$8,716","$76,887"," 45,117 ", 67 , 24 , 6 , 61 
61,AL,0,"Talladega County, AL",Talladega County,2p2c,"$8,100","$9,864","$13,628","$16,992","$6,509","$12,016","$8,444","$75,553"," 56,166 ", 67 , 36 , 31 , 35 
62,AL,0,"Tallapoosa County, AL",Tallapoosa County,2p2c,"$7,608","$9,474","$13,964","$16,992","$6,190","$12,087","$8,240","$74,556"," 57,905 ", 67 , 44 , 44 , 31 
63,AL,1,"Tuscaloosa, AL HUD Metro FMR Area",Tuscaloosa County,2p2c,"$10,219","$10,404","$14,166","$16,134","$7,472","$13,958","$9,779","$82,131"," 70,580 ", 67 , 10 , 59 , 10 
64,AL,1,"Walker County, AL HUD Metro FMR Area",Walker County,2p2c,"$8,688","$8,725","$13,853","$17,642","$6,309","$12,880","$8,698","$76,796"," 59,071 ", 67 , 26 , 39 , 24 
65,AL,0,"Washington County, AL",Washington County,2p2c,"$7,776","$9,594","$15,005","$16,992","$6,294","$11,819","$8,539","$76,019"," 54,297 ", 67 , 31 , 24 , 43 
66,AL,0,"Wilcox County, AL",Wilcox County,2p2c,"$7,608","$9,294","$13,837","$16,992","$6,124","$11,613","$8,022","$73,491"," 43,576 ", 67 , 58 , 7 , 63 
67,AL,0,"Winston County, AL",Winston County,2p2c,"$7,608","$8,665","$14,105","$16,992","$5,896","$11,819","$7,923","$73,008"," 49,170 ", 67 , 64 , 14 , 58 
68,AK,0,"Aleutians East Borough, AK",Aleutians East Borough,2p2c,"$13,380","$10,579","$8,231","$19,119","$8,681","$18,393","$7,575","$85,958"," 79,776 ", 29 , 24 , 16 , 19 
69,AK,0,"Aleutians West Census Area, AK",Aleutians West Census Area,2p2c,"$19,140","$15,722","$4,193","$19,119","$12,632","$22,347","$11,188","$104,340"," 98,062 ", 29 , 1 , 19 , 7 
70,AK,1,"Anchorage, AK HUD Metro FMR Area",Anchorage Municipality,2p2c,"$14,640","$9,092","$15,093","$18,023","$8,599","$23,882","$10,148","$99,476"," 104,803 ", 29 , 8 , 26 , 3 
71,AK,0,"Bethel Census Area, AK",Bethel Census Area,2p2c,"$19,368","$9,969","$12,006","$18,293","$10,630","$22,123","$10,978","$103,367"," 55,433 ", 29 , 2 , 2 , 26 
72,AK,0,"Bristol Bay Borough, AK",Bristol Bay Borough,2p2c,"$12,984","$9,335","$16,454","$19,119","$8,087","$18,513","$8,867","$93,361"," 100,849 ", 29 , 17 , 27 , 5 
73,AK,0,"Denali Borough, AK",Denali Borough,2p2c,"$17,436","$9,141","$14,642","$19,119","$9,630","$21,252","$10,659","$101,877"," 107,175 ", 29 , 6 , 25 , 2 
74,AK,0,"Dillingham Census Area, AK",Dillingham Census Area,2p2c,"$15,324","$9,994","$11,197","$18,293","$9,174","$19,832","$8,702","$92,516"," 57,301 ", 29 , 19 , 5 , 25 
75,AK,1,"Fairbanks, AK MSA",Fairbanks North Star Borough,2p2c,"$15,612","$8,970","$15,203","$18,238","$8,907","$24,686","$10,767","$102,384"," 92,407 ", 29 , 4 , 14 , 11 
